maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
2	gc	c	i	8/2/2020	NA	18.305	18.305	0.5
2	gc	c	i	9/2/2020	NA	18.077	18.077	0.5
2	gc	c	NA	10/2/2020	NA	17.848	18.532	0.5
2	gc	c	i	11/2/2020	NA	18.346	18.346	0.5
2	gc	c	NA	12/2/2020	NA	18.16	18.53	0.5
2	gc	c	i	13/2/2020	NA	18.31	18.31	0.5
2	gc	c	i	14/2/2020	NA	18.09	18.09	1.219
2	gc	c	NA	15/2/2020	NA	18.59	18.59	0.5
2	gc	c	i	16/2/2020	NA	18.36	18.36	0.5
2	gc	c	NA	17/2/2020	NA	18.131	18.53	0.5
2	gc	c	i	18/2/2020	NA	18.246	18.246	0.5
2	gc	c	NA	19/2/2020	NA	17.963	18.53	0.5
2	gc	c	i	20/2/2020	NA	18.053	18.053	0.5
2	gc	c	NA	21/2/2020	NA	18.061	18.534	0.5
2	gc	c	i	22/2/2020	NA	18.374	18.374	0.5
2	gc	c	NA	23/2/2020	NA	18.215	18.534	0.5
2	gc	c	i	24/2/2020	NA	18.398	18.398	0.5
2	gc	c	NA	25/2/2020	NA	18.262	18.53	0.5
2	gc	c	i	26/2/2020	NA	18.198	18.198	0.5
2	gc	c	NA	27/2/2020	NA	17.866	18.53	0.5
2	gc	c	i	28/2/2020	NA	18.45	18.45	0.5
2	gc	c	NA	29/2/2020	NA	18.371	18.371	0.5
2	gc	c	i	1/3/2020	NA	18.265	18.265	0.5
2	gc	c	NA	2/3/2020	NA	18.16	18.526	0.5
2	gc	c	i	3/3/2020	NA	18.253	18.253	0.5
2	gc	c	NA	4/3/2020	NA	17.98	18.535	0.5
2	gc	c	i	5/3/2020	NA	18.195	18.195	0.5
2	gc	c	NA	6/3/2020	NA	17.856	18.528	0.5
2	gc	c	i	7/3/2020	NA	18.195	18.195	0.5
2	gc	c	NA	8/3/2020	NA	17.863	18.533	0.5
2	gc	c	i	9/3/2020	NA	18.104	18.104	0.5
2	gc	c	NA	10/3/2020	NA	17.676	18.524	0.5
2	gc	c	i	11/3/2020	NA	18.766	18.766	0.5
2	gc	c	NA	12/3/2020	NA	19.009	19.009	0
2	gc	c	i	13/3/2020	NA	18.895	18.895	0
2	gc	c	i	14/3/2020	NA	18.781	18.781	0
2	gc	c	i	15/3/2020	NA	18.667	18.667	0
2	gc	c	NA	16/3/2020	NA	18.555	19.03	0
2	gc	c	NA	17/3/2020	NA	18.305	19.031	0
2	gc	c	NA	18/3/2020	NA	18.672	19.03	0
2	gc	c	i	19/3/2020	NA	18.71	18.71	0
2	gc	c	NA	20/3/2020	NA	18.39	19.032	0
2	gc	c	NA	21/3/2020	NA	18.509	19.031	0
2	gc	c	NA	22/3/2020	NA	18.58	19.029	0
3	g1	d	NA	8/11/2019	NA	20.295	20.295	0
3	g1	d	NA	11/11/2019	NA	19.588	19.588	0
3	g1	d	NA	13/11/2019	NA	19.287	19.287	0
3	g1	d	NA	19/11/2019	NA	18.346	18.346	0
3	g1	d	NA	21/11/2019	8:49	18.153	18.153	0
3	g1	d	NA	22/11/2019	10:05	18.037	18.037	0
3	g1	d	NA	25/11/2019	10:12	18.009	18.009	0
3	g1	d	NA	26/11/2019	9:06	17.984	17.984	0
3	g1	d	NA	27/11/2019	11:30	17.941	17.941	0
3	g1	d	NA	28/11/2019	8:50	17.872	17.872	0
3	g1	d	NA	29/11/2019	8:50	17.788	17.788	0
3	g1	d	NA	30/11/2019	8:50	17.744	17.744	0
3	g1	d	i	1/12/2019	NA	17.687	17.687	0
3	g1	d	NA	2/12/2019	8:50	17.63	17.733	0
3	g1	d	NA	3/12/2019	9:10	17.658	17.705	0
3	g1	d	NA	4/12/2019	8:30	17.651	17.651	0
3	g1	d	NA	5/12/2019	8:50	17.613	17.613	0
3	g1	d	NA	6/12/2019	8:10	17.573	17.573	0
3	g1	d	NA	7/12/2019	8:05	17.518	17.618	0
3	g1	d	i	8/12/2019	NA	17.567	17.567	0
3	g1	d	NA	9/12/2019	8:00	17.516	17.516	0
3	g1	d	NA	10/12/2019	8:50	17.464	17.53	0
3	g1	d	NA	11/12/2019	8:50	17.442	17.53	0
3	g1	d	NA	12/12/2019	NA	17.46	17.532	0
3	g1	d	NA	13/12/2019	8:00	17.449	17.532	0
3	g1	d	i	14/12/2019	NA	17.502	17.50	0
3	g1	d	i	15/12/2019	NA	17.472	17.47	0
3	g1	d	NA	16/12/2019	8:20	17.440	17.533	0
3	g1	d	NA	17/12/2019	8:00	17.459	17.830	0
3	g1	d	NA	18/12/2019	8:00	17.586	17.586	0
3	g1	d	NA	19/12/2019	8:00	17.482	17.482	0
